Date,Real,Predict
29/06,89,89
30/06,120,120
01/07,112,112
02/07,80,80
03/07,58,58
04/07,40,40
05/07,7,7
06/07,24,24
07/07,24,24
08/07,23,23
09/07,25,293
10/07,26,323
11/07,8,328
12/07,10,103
13/07,11,126
14/07,10,144
15/07,9,131
16/07,13,123
17/07,12,171
18/07,15,154
19/07,16,199
20/07,18,209
21/07,19,237
22/07,23,242
23/07,26,298
24/07,29,331
25/07,27,376
26/07,29,346
27/07,33,374
28/07,40,424
29/07,44,505
30/07,54,566
31/07,49,684
01/08,46,629
02/08,42,581
03/08,41,535
04/08,35,517
05/08,42,444
06/08,48,530
07/08,48,613
08/08,60,613
09/08,63,757
10/08,83,797
11/08,88,1054
12/08,139,1110
13/08,155,1756
14/08,197,1963
15/08,223,2489
16/08,254,2819
17/08,317,3209
18/08,340,3994
19/08,412,4290
20/08,406,5190
21/08,374,5112
22/08,271,4712
23/08,265,3415
24/08,148,3340
25/08,97,1867
26/08,80,1225
27/08,59,1011
28/08,4,743
29/08,0,52
30/08,0,0
31/08,0,0
01/09,0,0
02/09,,0
03/09,,0
04/09,,0
05/09,,0
06/09,,0
07/09,,0
08/09,,0
09/09,,0
10/09,,0
11/09,,0
12/09,,0
13/09,,0
14/09,,0
15/09,,0
16/09,,0
17/09,,0
18/09,,0
19/09,,0
20/09,,0
21/09,,0
22/09,,0
23/09,,0
24/09,,0
25/09,,0
26/09,,0
