Date,Real,Predict
29/06,70,70
30/06,87,87
01/07,40,40
02/07,24,24
03/07,21,21
04/07,18,18
05/07,1,1
06/07,20,20
07/07,24,24
08/07,25,25
09/07,25,31
10/07,30,31
11/07,11,38
12/07,7,14
13/07,8,9
14/07,9,11
15/07,5,11
16/07,7,6
17/07,5,9
18/07,5,7
19/07,5,6
20/07,7,7
21/07,7,9
22/07,8,9
23/07,8,10
24/07,7,10
25/07,10,8
26/07,8,13
27/07,7,10
28/07,8,9
29/07,9,10
30/07,17,12
31/07,17,21
01/08,19,21
02/08,19,24
03/08,18,23
04/08,5,22
05/08,9,6
06/08,8,12
07/08,26,10
08/08,27,33
09/08,55,35
10/08,51,69
11/08,59,64
12/08,49,74
13/08,60,62
14/08,34,76
15/08,34,43
16/08,41,43
17/08,50,52
18/08,38,64
19/08,51,48
20/08,58,64
21/08,52,72
22/08,60,66
23/08,74,76
24/08,61,94
25/08,66,77
26/08,65,84
27/08,39,82
28/08,32,49
29/08,38,41
30/08,26,47
31/08,,33
01/09,,41
02/09,,52
03/09,,65
04/09,,83
05/09,,106
06/09,,135
07/09,,171
08/09,,213
09/09,,259
10/09,,313
11/09,,377
