Date,Real,Predict
29/06,76,76
30/06,64,64
01/07,54,54
02/07,50,50
03/07,42,42
04/07,11,11
05/07,12,12
06/07,16,16
07/07,25,25
08/07,25,25
09/07,26,33
10/07,29,34
11/07,26,39
12/07,20,34
13/07,27,26
14/07,27,36
15/07,19,36
16/07,28,25
17/07,26,37
18/07,24,33
19/07,28,31
20/07,34,37
21/07,32,44
22/07,38,41
23/07,39,49
24/07,37,50
25/07,34,48
26/07,28,44
27/07,37,35
28/07,46,46
29/07,46,57
30/07,47,57
31/07,47,58
01/08,30,58
02/08,15,37
03/08,13,18
04/08,10,16
05/08,11,13
06/08,11,13
07/08,14,14
08/08,15,17
09/08,20,19
10/08,35,26
11/08,55,44
12/08,90,69
13/08,128,113
14/08,160,162
15/08,178,201
16/08,195,223
17/08,160,242
18/08,160,199
19/08,147,199
20/08,191,183
21/08,186,238
22/08,223,233
23/08,236,279
24/08,271,295
25/08,242,340
26/08,227,302
27/08,218,282
28/08,202,270
29/08,215,250
30/08,,267
31/08,,332
01/09,,409
02/09,,499
03/09,,600
04/09,,711
05/09,,823
06/09,,930
07/09,,1021
08/09,,1096
09/09,,1172
10/09,,1255
