Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,1,1
05/07,2,2
06/07,2,2
07/07,2,2
08/07,3,3
09/07,3,5
10/07,3,5
11/07,3,5
12/07,3,5
13/07,5,5
14/07,5,8
15/07,5,8
16/07,7,8
17/07,11,10
18/07,16,15
19/07,17,21
20/07,18,22
21/07,29,24
22/07,35,36
23/07,39,43
24/07,44,47
25/07,50,53
26/07,53,59
27/07,61,62
28/07,65,71
29/07,72,75
30/07,89,82
31/07,90,100
01/08,94,101
02/08,97,105
03/08,101,108
04/08,113,112
05/08,120,124
06/08,125,131
07/08,130,136
08/08,132,141
09/08,135,143
10/08,139,146
11/08,145,150
12/08,148,156
13/08,152,159
14/08,156,163
15/08,160,167
16/08,170,171
17/08,175,181
18/08,179,186
19/08,196,190
20/08,201,207
21/08,212,212
22/08,213,224
23/08,229,225
24/08,254,241
25/08,272,266
26/08,274,285
27/08,279,287
28/08,281,292
29/08,282,294
30/08,284,305
31/08,290,315
01/09,303,324
02/09,311,332
03/09,324,338
04/09,,344
05/09,,349
06/09,,354
07/09,,357
08/09,,361
09/09,,364
10/09,,367
11/09,,369
12/09,,371
13/09,,374
