Date,Real,Predict
29/06,70,70
30/06,87,87
01/07,40,40
02/07,24,24
03/07,21,21
04/07,18,18
05/07,1,1
06/07,20,20
07/07,24,24
08/07,25,25
09/07,25,34
10/07,30,34
11/07,11,41
12/07,7,15
13/07,8,10
14/07,9,11
15/07,5,12
16/07,7,7
17/07,5,9
18/07,5,7
19/07,5,6
20/07,7,7
21/07,7,9
22/07,8,10
23/07,8,10
24/07,7,10
25/07,10,8
26/07,8,13
27/07,7,10
28/07,8,9
29/07,9,10
30/07,17,12
31/07,17,21
01/08,19,21
02/08,19,23
03/08,18,23
04/08,5,22
05/08,9,6
06/08,8,11
07/08,26,10
08/08,27,32
09/08,55,34
10/08,51,68
11/08,59,63
12/08,49,73
13/08,60,61
14/08,34,74
15/08,34,42
16/08,41,43
17/08,50,51
18/08,38,63
19/08,51,47
20/08,58,62
21/08,52,71
22/08,60,64
23/08,74,74
24/08,61,91
25/08,66,75
26/08,65,81
27/08,39,79
28/08,32,47
29/08,38,39
30/08,,47
31/08,,57
01/09,,70
02/09,,85
03/09,,103
04/09,,126
05/09,,153
06/09,,188
07/09,,229
08/09,,281
09/09,,343
10/09,,420
11/09,,514
12/09,,629
13/09,,770
