Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,1,1
05/07,2,2
06/07,2,2
07/07,2,2
08/07,2,2
09/07,2,2
10/07,3,2
11/07,3,3
12/07,4,3
13/07,5,4
14/07,6,5
15/07,7,6
16/07,7,7
17/07,8,7
18/07,9,8
19/07,9,9
20/07,10,9
21/07,13,10
22/07,14,13
23/07,20,14
24/07,23,21
25/07,28,24
26/07,33,29
27/07,36,34
28/07,37,37
29/07,44,38
30/07,49,45
31/07,53,50
01/08,69,54
02/08,81,70
03/08,90,82
04/08,106,91
05/08,115,107
06/08,123,116
07/08,131,124
08/08,142,132
09/08,153,143
10/08,167,154
11/08,177,168
12/08,187,178
13/08,198,188
14/08,206,199
15/08,227,207
16/08,240,228
17/08,256,241
18/08,272,257
19/08,287,273
20/08,303,288
21/08,317,304
22/08,320,318
23/08,351,321
24/08,360,352
25/08,379,361
26/08,392,380
27/08,406,393
28/08,421,407
29/08,438,422
30/08,449,439
31/08,458,451
01/09,472,460
02/09,490,461
03/09,511,463
04/09,516,465
05/09,527,467
06/09,532,469
07/09,,471
08/09,,473
09/09,,475
10/09,,477
11/09,,479
12/09,,481
13/09,,483
14/09,,485
15/09,,488
16/09,,490
