Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,1,1
05/07,3,3
06/07,3,3
07/07,3,3
08/07,4,4
09/07,4,4
10/07,4,4
11/07,5,4
12/07,7,6
13/07,9,8
14/07,10,10
15/07,12,11
16/07,13,13
17/07,14,14
18/07,16,15
19/07,16,17
20/07,16,17
21/07,22,17
22/07,24,23
23/07,26,25
24/07,27,27
25/07,31,28
26/07,34,32
27/07,37,35
28/07,43,39
29/07,49,45
30/07,55,51
31/07,61,57
01/08,76,63
02/08,87,78
03/08,98,89
04/08,117,100
05/08,138,119
06/08,147,140
07/08,166,149
08/08,179,168
09/08,199,181
10/08,226,201
11/08,252,228
12/08,267,254
13/08,282,269
14/08,299,284
15/08,327,301
16/08,352,329
17/08,380,354
18/08,397,382
19/08,417,399
20/08,449,419
21/08,469,451
22/08,520,471
23/08,545,523
24/08,584,548
25/08,598,587
26/08,606,601
27/08,612,609
28/08,626,615
29/08,627,629
30/08,627,630
31/08,627,630
01/09,627,630
02/09,627,633
03/09,627,636
04/09,627,639
05/09,627,642
06/09,636,644
07/09,,647
08/09,,649
09/09,,651
10/09,,653
11/09,,655
12/09,,657
13/09,,659
14/09,,660
15/09,,662
16/09,,664
