Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,1,1
04/07,2,2
05/07,3,3
06/07,3,3
07/07,3,3
08/07,3,3
09/07,4,6
10/07,5,7
11/07,5,9
12/07,5,9
13/07,10,9
14/07,11,14
15/07,11,15
16/07,12,15
17/07,15,16
18/07,20,20
19/07,22,26
20/07,25,28
21/07,36,32
22/07,42,43
23/07,50,50
24/07,57,58
25/07,61,66
26/07,66,70
27/07,76,75
28/07,97,86
29/07,105,107
30/07,120,115
31/07,154,130
01/08,178,165
02/08,188,189
03/08,192,199
04/08,198,203
05/08,200,209
06/08,204,211
07/08,207,215
08/08,213,218
09/08,220,224
10/08,226,231
11/08,233,237
12/08,238,244
13/08,243,249
14/08,250,254
15/08,255,261
16/08,261,266
17/08,265,272
18/08,272,276
19/08,278,283
20/08,286,289
21/08,293,302
22/08,299,314
23/08,308,327
24/08,321,339
25/08,,352
26/08,,365
27/08,,379
28/08,,392
29/08,,406
30/08,,420
31/08,,434
