Date,Real,Predict
29/06,89,89
30/06,120,120
01/07,112,112
02/07,80,80
03/07,58,58
04/07,40,40
05/07,7,7
06/07,24,24
07/07,24,24
08/07,23,23
09/07,25,34
10/07,26,37
11/07,8,38
12/07,10,12
13/07,11,14
14/07,10,16
15/07,9,15
16/07,13,14
17/07,12,19
18/07,15,17
19/07,16,22
20/07,18,23
21/07,19,26
22/07,23,26
23/07,26,32
24/07,29,36
25/07,27,41
26/07,29,37
27/07,33,40
28/07,40,45
29/07,44,53
30/07,54,60
31/07,49,72
01/08,46,66
02/08,42,61
03/08,41,56
04/08,35,54
05/08,42,46
06/08,48,55
07/08,48,64
08/08,60,64
09/08,63,79
10/08,83,83
11/08,88,110
12/08,139,116
13/08,155,183
14/08,197,205
15/08,223,259
16/08,254,294
17/08,317,334
18/08,340,416
19/08,412,447
20/08,406,540
21/08,374,532
22/08,271,490
23/08,265,355
24/08,148,346
25/08,97,193
26/08,80,126
27/08,59,103
28/08,4,75
29/08,0,5
30/08,0,0
31/08,0,0
01/09,0,0
02/09,,0
03/09,,0
04/09,,0
05/09,,0
06/09,,0
07/09,,0
08/09,,0
09/09,,0
10/09,,0
11/09,,0
12/09,,0
13/09,,0
14/09,,0
15/09,,0
16/09,,0
